"key";"form";"instruction";"en";"nl";"af";"sq";"am";"ar";"hy";"as";"az";"eu";"bn";"my";"bs";"bg";"ca";"zh";"da";"de";"et";"fo";"fi";"fr";"gl";"ka";"el";"gu";"he";"hi";"hu";"ga";"is";"id";"it";"ja";"kn";"kk";"km";"ko";"hr";"lo";"lv";"lt";"mk";"ms";"ml";"mr";"mn";"ne";"no";"uk";"or";"ug";"uz";"fa";"pl";"pt";"pa";"ro";"ru";"sr";"si";"sk";"sl";"es";"sw";"ta";"te";"th";"bo";"cs";"tr";"ur";"vi";"cy";"be";"zu";"sv"
"character.bear";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Bear";"Beer";"Beer";"Ari";"ድብ";"دب";"Արջ";"ভালুক";"Ayı";"Hartza";"ভালুক";"ဝက်ဝံ";"Medvjed";"Мечка";"Ós";"熊";"Bjørn";"Bär";"Karu";"Bjørn";"Karhu";"Ours";"Oso";"დათვი";"Αρκούδα";"રીંછ";"דוב";"भालू";"Medve";"Béar";"Björn";"Beruang";"Orso";"クマ";"ಕರಡಿ";"Аю";"ខ្លាឃ្មុំ";"곰";"Medvjed";"ໝີ";"Lācis";"Lokys";"Мечка";"Beruang";"കരടി";"अस्वल";"Баавгай";"भालु";"Bjørn";"Ведмідь";"ଭାଲୁ";"ئېيىق";"Ayiq";"خرس";"Niedźwiedź";"Urso";"ਭਾਲੂ";"Urs";"Медведь";"Medved";"වලහා";"Medveď";"Medved";"Oso";"Dubu";"கரடி";"ఎలుగుబంటి";"หมี";"དོམ";"Medvěd";"Ayı";"ریچھ";"Gấu";"Arth";"Мядзведзь";"Ibhere";"Björn"
"character.bunny";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Bunny";"Konijn";"Hasie";"Lepur";"ጥንቸል";"أرنب";"Նապաստակ";"খৰগোশ";"Dovşan";"Untxia";"খরগোশ";"ယုန်ကလေး";"Zeko";"Зайче";"Conill";"兔子";"Kanin";"Hase";"Jänku";"Kanina";"Pupu";"Lapin";"Coello";"კურდღელი";"Λαγός";"સસલું";"ארנב";"खरगोश";"Nyuszi";"Coinín";"Kanína";"Kelinci";"Coniglio";"ウサギ";"ಮೊಲ";"Қоян";"ទន្សាយ";"토끼";"Zeko";"ກະຕ່າຍ";"Zaķis";"Zuikutis";"Зајак";"Arnab";"മുയൽ";"ससा";"Туулай";"खरायो";"Kanin";"Зайчик";"ଖରଗୋଶ";"توشقان";"Quyon";"خرگوش";"Królik";"Coelho";"ਖਰਗੋਸ਼";"Iepuraș";"Зайка";"Zeka";"හාවා";"Zajačik";"Zajček";"Conejo";"Sungura";"முயல்";"కుందేలు";"กระต่าย";"རི་བོང";"Králík";"Tavşan";"خرگوش";"Thỏ";"Cwningen";"Зайчык";"Unogwaja";"Kanin"
"character.crab";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Crab";"Krab";"Krap";"Gaforre";"ሸርጣን";"سلطعون";"Խեցգետին";"কেঁকোৰা";"Krab";"Karramarroa";"কাঁকড়া";"ကဏန်း";"Rak";"Рак";"Cranc";"螃蟹";"Krabbe";"Krabbe";"Krabi";"Krabbi";"Rapu";"Crabe";"Cangrexo";"კიბორჩხალა";"Καβούρι";"કરચલો";"סרטן";"केकड़ा";"Rák";"Portán";"Krabbi";"Kepiting";"Granchio";"カニ";"ಏಡಿ";"Теңізшаян";"ក្តាម";"게";"Rak";"ປູ";"Krabis";"Krabas";"Рак";"Ketam";"ഞണ്ട്";"खेकडा";"Хавч";"केकडा";"Krabbe";"Краб";"କଙ୍କଡ଼ା";"قىسقۇچپاقا";"Qisqichbaqa";"خرچنگ";"Krab";"Caranguejo";"ਕੇਕੜਾ";"Crab";"Краб";"Rak";"කකුළුවා";"Krab";"Rak";"Cangrejo";"Kaa";"நண்டு";"పీత";"ปู";"སྡིག་སྲིན";"Krab";"Yengeç";"کیکڑا";"Cua";"Cranc";"Краб";"Inkalankala";"Krabba"
"character.dog";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Dog";"Hond";"Hond";"Qen";"ውሻ";"كلب";"Շուն";"কুকুৰ";"İt";"Txakurra";"কুকুর";"ခွေး";"Pas";"Куче";"Gos";"狗";"Hund";"Hund";"Koer";"Hundur";"Koira";"Chien";"Can";"ძაღლი";"Σκύλος";"કૂતરો";"כלב";"कुत्ता";"Kutya";"Madra";"Hundur";"Anjing";"Cane";"イヌ";"ನಾಯಿ";"Ит";"ឆ្កែ";"개";"Pas";"ໝາ";"Suns";"Šuo";"Куче";"Anjing";"നായ";"कुत्रा";"Нохой";"कुकुर";"Hund";"Пес";"କୁକୁର";"ئىت";"It";"سگ";"Pies";"Cão";"ਕੁੱਤਾ";"Câine";"Пёс";"Pas";"බල්ලා";"Pes";"Pes";"Perro";"Mbwa";"நாய்";"కుక్క";"หมา";"ཁྱི";"Pes";"Köpek";"کتا";"Chó";"Ci";"Сабака";"Inja";"Hund"
"character.elephant";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Elephant";"Olifant";"Olifant";"Elefant";"ዝሆን";"فيل";"Փիղ";"হাতী";"Fil";"Elefantea";"হাতি";"ဆင်";"Slon";"Слон";"Elefant";"大象";"Elefant";"Elefant";"Elevant";"Fílur";"Norsu";"Éléphant";"Elefante";"სპილო";"Ελέφαντας";"હાથી";"פיל";"हाथी";"Elefánt";"Eilifint";"Fíll";"Gajah";"Elefante";"ゾウ";"ಆನೆ";"Піл";"ដំរី";"코끼리";"Slon";"ຊ້າງ";"Zilonis";"Dramblys";"Слон";"Gajah";"ആന";"हत्ती";"Заан";"हात्ती";"Elefant";"Слон";"ହାତୀ";"پىل";"Fil";"فیل";"Słoń";"Elefante";"ਹਾਥੀ";"Elefant";"Слон";"Slon";"අලියා";"Slon";"Slon";"Elefante";"Tembo";"யானை";"ఏనుగు";"ช้าง";"གླང་ཆེན";"Slon";"Fil";"ہاتھی";"Voi";"Eliffant";"Слон";"Indlovu";"Elefant"
"character.fox";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Fox";"Vos";"Jakkals";"Dhelpër";"ቀበሮ";"ثعلب";"Աղվես";"শিয়াল";"Tülkü";"Azeria";"শিয়াল";"မြေခွေး";"Lisica";"Лисица";"Guineu";"狐狸";"Ræv";"Fuchs";"Rebane";"Revur";"Kettu";"Renard";"Raposo";"მელა";"Αλεπού";"શિયાળ";"שועל";"लोमड़ी";"Róka";"Sionnach";"Refur";"Rubah";"Volpe";"キツネ";"ನರಿ";"Түлкі";"កញ្ជ្រោង";"여우";"Lisica";"ໝາຈອກ";"Lapsa";"Lapė";"Лисица";"Rubah";"കുറുക്കൻ";"कोल्हा";"Үнэг";"स्याल";"Rev";"Лис";"ଖଞ୍ଜନା";"تۈلكە";"Tulki";"روباه";"Lis";"Raposa";"ਲੂੰਬੜੀ";"Vulpe";"Лис";"Lisica";"නරියා";"Líška";"Lisica";"Zorro";"Mbweha";"நரி";"నక్క";"จิ้งจอก";"ཝ";"Liška";"Tilki";"لومڑی";"Cáo";"Llwynog";"Ліса";"Impungushe";"Räv"
"character.frog";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Frog";"Kikker";"Padda";"Bretkosë";"እንቁራሪት";"ضفدع";"Գորտ";"ভেকুলী";"Qurbağa";"Igela";"ব্যাঙ";"ဖား";"Žaba";"Жаба";"Granota";"青蛙";"Frø";"Frosch";"Konn";"Froskur";"Sammakko";"Grenouille";"Ra";"ბაყაყი";"Βάτραχος";"દેડકો";"צפרדע";"मेंढक";"Béka";"Frog";"Froskur";"Katak";"Rana";"カエル";"ಕಪ್ಪೆ";"Бақа";"កង្កែប";"개구리";"Žaba";"ກົບ";"Varde";"Varlė";"Жаба";"Katak";"തവള";"बेडूक";"Мэлхий";"भ्यागुतो";"Frosk";"Жаба";"ବେଙ୍ଗ";"پاقا";"Qurbaqa";"قورباغه";"Żaba";"Sapo";"ਡੱਡੂ";"Broască";"Лягушка";"Žaba";"ගෙම්බා";"Žaba";"Žaba";"Rana";"Chura";"தவளை";"కప్ప";"กบ";"སྦལ་པ";"Žába";"Kurbağa";"مینڈک";"Ếch";"Broga";"Жаба";"Ixoxo";"Groda"
"character.lion";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Lion";"Leeuw";"Leeu";"Luan";"አንበሳ";"أسد";"Առյուծ";"সিংহ";"Şir";"Lehoia";"সিংহ";"ခြင်္သေ့";"Lav";"Лъв";"Lleó";"狮子";"Løve";"Löwe";"Lõvi";"Leyva";"Leijona";"Lion";"León";"ლომი";"Λιοντάρι";"સિંહ";"אריה";"शेर";"Oroszlán";"Leon";"Ljón";"Singa";"Leone";"ライオン";"ಸಿಂಹ";"Арыстан";"តោ";"사자";"Lav";"ສິງ";"Lauva";"Liūtas";"Лав";"Singa";"സിംഹം";"सिंह";"Арслан";"सिंह";"Løve";"Лев";"ସିଂହ";"شىر";"Arslon";"شیر";"Lew";"Leão";"ਸ਼ੇਰ";"Leu";"Лев";"Lav";"සිංහයා";"Lev";"Lev";"León";"Simba";"சிங்கம்";"సింహం";"สิงโต";"སེང་གེ";"Lev";"Aslan";"شیر";"Sư tử";"Llew";"Леў";"Ibhubesi";"Lejon"
"character.octopus";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Octopus";"Inktvis";"Seekat";"Oktapod";"ኦክቶፐስ";"أخطبوط";"Ութոտնուկ";"অক্টোপাছ";"Ahtapot";"Olagarroa";"অক্টোপাস";"ရေဘဝဲ";"Hobotnica";"Октопод";"Pop";"章鱼";"Blæksprutte";"Oktopus";"Kaheksajalg";"Høgguslokkur";"Mustekala";"Poulpe";"Polbo";"რვაფეხა";"Χταπόδι";"ઓક્ટોપસ";"תמנון";"ऑक्टोपस";"Polip";"Ochtapas";"Kolkrabbi";"Gurita";"Polpo";"タコ";"ಆಕ್ಟೋಪಸ್";"Сегізаяқ";"មឹក";"문어";"Hobotnica";"ປາໝຶກ";"Astoņkājis";"Aštuonkojis";"Октопод";"Kurita";"നീരാളി";"ऑक्टोपस";"Наймаалж";"अक्टोपस";"Blekksprut";"Восьминіг";"ଅକ୍ଟୋପସ୍";"سەككىزئاياغ";"Ahtapot";"هشت‌پا";"Ośmiornica";"Polvo";"ਆਕਟੋਪਸ";"Caracatiță";"Осьминог";"Hobotnica";"බූවල්ලා";"Chobotnica";"Hobotnica";"Pulpo";"Pweza";"ஆக்டோபஸ்";"ఆక్టోపస్";"หมึกยักษ์";"ཉ་ལག་བརྒྱད";"Chobotnice";"Ahtapot";"آکٹوپس";"Bạch tuộc";"Octopws";"Васьміног";"Ingwane";"Bläckfisk"
"character.penguin";"";"An animal's name. Appears on its own under the artwork and inside sentences such as ""3 more flies to unlock …"". Aim for 14 characters or fewer.";"Penguin";"Pinguïn";"Pikkewyn";"Pinguin";"ፔንግዊን";"بطريق";"Պինգվին";"পেংগুইন";"Pinqvin";"Pinguinoa";"পেঙ্গুইন";"ပင်ဂွင်း";"Pingvin";"Пингвин";"Pingüí";"企鹅";"Pingvin";"Pinguin";"Pingviin";"Pingvinur";"Pingviini";"Pingouin";"Pingüín";"პინგვინი";"Πιγκουίνος";"પેંગ્વિન";"פינגווין";"पेंगुइन";"Pingvin";"Piongain";"Mörgæs";"Pinguin";"Pinguino";"ペンギン";"ಪೆಂಗ್ವಿನ್";"Пингвин";"ភេនឃ្វីន";"펭귄";"Pingvin";"ເພນກວິນ";"Pingvīns";"Pingvinas";"Пингвин";"Penguin";"പെൻഗ്വിൻ";"पेंग्विन";"Оцон шувуу";"पेन्गुइन";"Pingvin";"Пінгвін";"ପେଙ୍ଗୁଇନ୍";"پىنگۋىن";"Pingvin";"پنگوئن";"Pingwin";"Pinguim";"ਪੇਂਗੁਇਨ";"Pinguin";"Пингвин";"Pingvin";"පෙන්ගුවියා";"Tučniak";"Pingvin";"Pingüino";"Pengwini";"பென்குயின்";"పెంగ్విన్";"เพนกวิน";"པེང་གུན";"Tučňák";"Penguen";"پینگوئن";"Chim cánh cụt";"Pengwin";"Пінгвін";"Iphengwini";"Pingvin"
